status,year,date,talk,organizer,event,event_link,recording_link,sm_link,image_link,type,location,language,abstract,tags
,2025,2025-12-17,Aterrizando la IA a la realidad,Secretaría de Estado de Digitalización e Inteligencia Artificial (SEDIA),Secretaría de Estado de Digitalización e Inteligencia Artificial (SEDIA) | Impulsando el Ecosistema de IA,https://digital.gob.es/comunicacion/notas-prensa/secretaria-digitalizacion-e-inteligencia-artificial/2025/12/17-12-2025,,https://www.linkedin.com/posts/secretar%C3%ADa-de-estado-de-digitalizaci%C3%B3n-e-inteligencia-artificial_as%C3%AD-ha-sido-la-jornada-impulsando-el-ecosistema-activity-7407357486892224512-m80M,images/events/20251217_sedia_aterrizan_la_ia_a_la_realidad.jpeg,Round Table,"Madrid, Spain 🇪🇸",Spanish,,
,2025,2025-09-27,"Intersecciones críticas: inteligencia artificial, sesgos y subjetividades",Ministerio de Cultura,Ministerio de Cultura | XI Encuentro de Cultura y Ciudadanía,https://espaciovirtual.culturayciudadania.es/programa/,,,images/events/20250927_cartel.png,Round Table (Moderator),"Barcelona, Spain 🇪🇸",Spanish,"Ministerio de Cultura, XI Encuentro de Cultura y Ciudadanía, round table moderator <a href=""https://www.linkedin.com/feed/update/urn:li:activity:7378339754968387584/"" target=""_blank"" class=""text-accent-500 hover:underline"">LinkedIn post</a> <a href=""https://culturayciudadania.cultura.gob.es/encuentro-cultura-ciudadania/2023-redirige/presentacion.html"" target=""_blank"" class=""text-accent-500 hover:underline"">Presentación</a>
,
,¿Puede la inteligencia artificial ser una herramienta emancipadora? ¿O corre el riesgo de amplificar los sesgos y desigualdades que atraviesan nuestras sociedades? A través de las voces y experiencias de diferentes proyectos, se propone un cruce entre arte, tecnología, pensamiento crítico y activismo para repensar los imaginarios y estructuras que configuran la IA, y se abordarán los modos en que las subjetividades disidentes y los cuerpos no normativos enfrentan los sistemas algorítmicos y los discursos tecnocientíficos hegemónicos. Una invitación a cuestionar los marcos dominantes y abrir espacios de experimentación política, estética y social.
,
,","AI Bias, Critical AI, 🇪🇸"
,2025,2025-09-27,Cultura en las Ondas,Ministerio de Cultura,Ministerio de Cultura | XI Encuentro de Cultura y Ciudadanía,"https://medioscomunitarios.net/2025/09/las-radios-comunitarias-se-unen-en-cultura-en-las-ondas-un-programa-realizado-en-el-xi-encuentro-de-cultura-y-ciudadania/ ","https://cuacfm.org/radioco/programmes/cultura-en-las-ondas/1x1/ ",,images/events/20250927_cultura_en_las_ondas.jpg,Radio,"Barcelona, Spain 🇪🇸",Spanish,,
,2025,2025-10-16,Fundamentals of NLP for small businesses,Galician Supercomputing Center (CESGA),Galician Supercomputing Center (CESGA) | AI Hackathon EuroCC2,https://cesga.es/hackathon-eurocc2-de-ia-para-pymes,,,images/logos/CESGA_square.jpg,Workshop,Spain (Remote) 🇪🇸,Spanish,"Galician Supercomputing Center (CESGA), 2h workshop part of the AI Hackathon EuroCC2","NLP, Small Business, 🇪🇸"
,2025,2025-10,Deep Learning for NLP,"National University of Asunción, Paraguay (UNA)","National University of Asunción, Paraguay (UNA) | Diplomado en PLN e IA",https://pol.una.py/extension/formacion-continua/diplomados/diplomado-en-procesamiento-de-lenguaje-natural-e-inteligencia-artificial,,,images/logos/UNA.jpeg,Module,Paraguay (Remote) 🇵🇾,Spanish,"National University of Asunción, Paraguay (UNA), 25h undergrad module in NLP Degree","Deep Learning, NLP, 🇵🇾"
,2025,2025-10-20,"Explorando la diversidad del español, porque el español no es solo uno",Unkown Focus,"Unkown Focus, Communication That Matters",https://unknownfocus.com/explorando-la-diversidad-del-espanol-porque-el-espanol-no-es-solo-uno/,,,images/events/20251020_unkown_focus.jpg,Blog Article (Featured),Remote 🌐,Spanish,,
,2025,2025-06,LLM Grooming: Cómo se está intentando engañar a la IA en español,Secretaría General Iberoamericana (SEGIB) & Maldita.es,"Secretaría General Iberoamericana (SEGIB) & Maldita.es | Pabellón Iberoamericano, Feria del Libro",https://exteriores.gob.es/es/PoliticaExterior/Documents/250527_Programa%20Pabell%c3%b3n%20Iberoamericano.pdf,,,images/events/20250613_cartel.png,Round Table,"Madrid, Spain 🇪🇸",Spanish,"Secretaría General Iberoamericana (SEGIB) & Maldita.es, Pabellón Iberoamericano, Feria del Libro","LLM Security, AI Safety, 🇪🇸"
,2025,2025-08,Natural Language Processing,International University of Andalucía (UNIA),International University of Andalucía (UNIA) | Summer School: Fundamentos de Inteligencia Artificial: Modelos Generativos y Aplicaciones Avanzadas,https://unia.es/estudios-y-acceso/oferta-academica/cursos-de-verano/fundamentos-de-inteligencia-artificial-modelos-generativos-y-aplicaciones-avanzadas,,,images/logos/UNIA_square.png,Workshop,"Baeza, Spain 🇪🇸",Spanish,"El Procesamiento del Lenguaje Natural (PLN) es un campo interdisciplinario que combina la inteligencia artificial y la lingüística que permite que las máquinas interpreten y generen lenguaje natural. Esta sesión tiene como objetivo brindar una introducción accesible al PLN. Motivaremos la sesión explicando casos de uso y aplicaciones reales. Exploraremos los elementos básicos del procesamiento de texto, desde la representación del lenguaje, hasta los enfoques más recientes en modelado lingüístico. Hablaremos de los populares pequeños modelos de lenguaje (small language models), que destacan por su eficiencia, y abordaremos el gran reto de cómo evaluar los modelos de lenguaje generativos.","NLP, Summer School, 🇪🇸"
,2025,2025-06-24,La Gala COTEC,COTEC,La Gala COTEC,https://cotec.es/informes/la-gala-2025/,https://www.youtube.com/watch?v=vQX4OT1pp9c,https://agenciaefe.es/gala-cotec-2025/,images/events/20250624_gala01.jpg,Gala,"Madrid, Spain 🇪🇸",,,
,2026,2026-04,RLHF & Model Alignment,National Center of Artificial Intelligence (CENIA),National Center of Artificial Intelligence (CENIA) | Diplomado de PLN,https://diplomado.cenia.cl/,,,images/logos/CENIA_square.jpeg,Guest Lecture,Chile (Remote) 🇨🇱,Spanish,"National Center of Artificial Intelligence (CENIA), 4h undergrad masterclass","RLHF, Model Alignment, 🇨🇱"
